question_id,game_id,question
124942,34174,the one after that before the red one?
17554,5663,is it in the middle?
144582,38471,one over from that?
145507,38687,Is it on the right side?
145700,38722,on the right?
148065,39206,is it yellow colour?
148479,39293,is it the right one in the picture?
150513,39674,is it on the middle?
153147,40261,is the one in right?
153587,40355,is is at the left?
153589,40355,at the right?
156714,41025,is it on the right?
157738,41219,In the middle?
188765,47838,is it to right side?
163060,42319,IS IT THE ONE ON THE LEFT?
169151,43625,is it in the middle?
171130,44022,is it on the stack at the edge to the right?
171219,44038,Is it in that cluster of three?
174749,44834,is he in left?
175350,44967,is it the one in the middle?
175495,44993,is it the one on the left?
178279,45595,Is it the one in the middle?
180824,46151,Is it the one on the left?
182924,46615,Is it the car right behind that one I just ask about?
213177,53076,is he in middle?
207084,51823,the one to the left?
208156,52056,on the right half?
209292,52259,is it on the left?
209302,52269,on the left side?
214962,53388,Is it at a red light?
218141,54077,is it the right side?
218839,54253,is it the one on the right?
26926,8226,right of the three?
227976,56371,is 5th one?
230304,57027,Is it in the row behind the red truck?
236435,58421,Is it the furthest right book?
7240,3018,the one closer to the door?
244463,60171,is it right of ca?
246912,60777,the one on the right?
252038,62065,Is it the second?
261821,64336,in the middle?
262771,64551,is that on the center?
262774,64551,is that on a left side?
266863,65745,IS IT TO THE LEFT?
268001,66038,but definitely not the one on the third post from the right?
270786,66744,Is it on the left side?
277488,68445,on left?
283422,69746,Is it orange?
287007,70548,Is it on the left?
289559,71105,Is it in the middle?
33557,9991,is it on the left side?
290959,71392,Its on the left side?
298912,73447,is the second one smaller than the others?
299803,73656,The one in the middle?
305205,74973,is it the one in the middle?
311161,76420,is it right book?
313076,76857,is he/she on right?
314216,77151,next right?
315003,77335,Is it to the right side?
315004,77335,Is it to the left side?
316021,77566,Is it the one who is this side?
316661,77709,at the bottom?
316674,77709,below 74 degree?
317018,77793,Is it to the right side?
320860,78696,on the right side?
322664,79070,is it the one to the left?
323338,79199,Is it the piece to the left in the picture?
326478,79882,upper side?
327413,80075,is he on the left?
328398,80282,is it on the left?
330362,80803,Is it on the left?
336325,82179,is she on the left?
337260,82439,ls he on left?
338710,82730,is it on the left side?
338782,82730,is it left?
